,year,most,least,category
0,2006,21.4938088162457,12.9888458911905,obese
1,2007,22.4592639415648,13.5534424356201,obese
2,2008,22.6367630385488,13.2949912351539,obese
3,2009,23.4616266963136,13.6411940875278,obese
4,2010,23.6786816961105,13.8109389106229,obese
5,2011,24.3180980464431,13.6845444705707,obese
6,2012,24.1897848068447,13.0002448257029,obese
7,2013,24.6671887235709,13.0849283167164,obese
8,2014,24.7545745959663,12.7445814451821,obese
9,2015,25.6641529893046,13.2600795985465,obese
10,2016,26.2063321405074,12.7646177932067,obese
11,2017,26.734121851,13.253711537,obese
12,2018,26.9207156639186,13.0374457769839,obese
13,2019,27.2262153453953,13.9100782528138,obese
0,2006,4.82813273897969,1.72547234236285,severely
1,2007,5.22896474223908,1.77733338774844,severely
2,2008,5.3500566893424,1.69388036477517,severely
3,2009,5.58173187216546,1.87614723215148,severely
4,2010,5.51181102362205,1.91092386397833,severely
5,2011,5.76115001842978,1.84189900347106,severely
6,2012,5.54279788140301,1.75332868792256,severely
7,2013,5.99495344992604,1.71748781020304,severely
8,2014,5.91024442366769,1.76871465205325,severely
9,2015,6.38112606174117,1.87229624502509,severely
10,2016,6.57605468812684,1.67449458852359,severely
11,2017,7.0365921271,1.9673218877,severely
12,2018,7.18148862772613,1.97754529216637,severely
13,2019,7.3752788301526,2.06374549110047,severely
