,Q,value,deals
0,2018Q1,38.9,1124.3243243243242
1,2018Q2,35.9,977.7777777777776
2,2018Q3,30.1,987.3873873873872
3,2018Q4,43.7,941.7417417417416
4,2019Q1,26.1,1061.8618618618618
5,2019Q2,16.4,941.7417417417416
6,2019Q3,146.0,956.156156156156
7,2019Q4,25.3,912.9129129129128
8,2020Q1,22.4,999.3993993993994
9,2020Q2,12.0,821.6216216216217
10,2020Q3,25.7,891.2912912912911
11,2020Q4,64.8,1035.4354354354357
12,2021Q1,53.1,1494.294294294294
13,2021Q2,58.0,1443.8438438438438
14,2021Q3,61.1,1489.4894894894894
15,2021Q4,39.9,1242.042042042042
