01-2019,98.15406,94.98897,98.29339,,,,,,,,,,,,1/1/2019
02-2019,97.73498,94.91107,98.38272,,,,,,,,,,,,2/1/2019
03-2019,98.33034,96.99468,98.73062,,,,,,,,,,,,3/1/2019
04-2019,99.0022,97.16344,98.78939,,,,,,,,,,,,4/1/2019
05-2019,99.17182,98.03323,98.95041,,,,,,,,,,,,5/1/2019
DATE,Non-durables,Durables,Services,,,,,,,,,,,,6/1/2019
07-2019,99.94013,98.88355,99.37236,,,,,,,,,,,,7/1/2019
08-2019,100.39912,99.2081,99.55924,,,,,,,,,,,,8/1/2019
09-2019,99.81707,100.12333,99.75905,,,,,,,,,,,,9/1/2019
10-2019,100.27606,99.30547,99.80842,,,,,,,,,,,,10/1/2019
11-2019,100.06985,100.42191,100.11401,,,,,,,,,,,,11/1/2019
12-2019,100,100,100,,,,,,,,,,,,12/1/2019
01-2020,100.14302,100.66208,100.41607,,,,,,,,,,,,1/1/2020
02-2020,100.18958,100.61015,100.49717,,,,,,,,,,,,2/1/2020
03-2020,105.17528,87.88134,91.20015,,,,,,,,,,,,3/1/2020
04-2020,91.69494,77.59315,80.09309,,,,,,,,,,,,4/1/2020
05-2020,99.18513,99.47423,84.69223,,,,,,,,,,,,5/1/2020
06-2020,103.38588,108.8472,89.70158,,,,,,,,,,,,6/1/2020
07-2020,104.57327,112.35233,90.88986,,,,,,,,,,,,7/1/2020
08-2020,104.13424,113.87771,91.87833,,,,,,,,,,,,8/1/2020
09-2020,106.58884,115.18889,92.79863,,,,,,,,,,,,9/1/2020
10-2020,106.25291,116.44814,93.26642,,,,,,,,,,,,10/1/2020
11-2020,105.15865,114.48137,93.05368,,,,,,,,,,,,11/1/2020
12-2020,103.00339,111.63832,92.83624,,,,,,,,,,,,12/1/2020
01-2021,108.22524,124.14644,93.58024,,,,,,,,,,,,1/1/2021
02-2021,105.25843,119.23277,93.30873,,,,,,,,,,,,2/1/2021
03-2021,112.72866,137.86836,94.96362,,,,,,,,,,,,3/1/2021
04-2021,112.25637,139.57549,95.87687,,,,,,,,,,,,4/1/2021
05-2021,111.56788,134.08412,96.54329,,,,,,,,,,,,5/1/2021
06-2021,113.15772,133.74659,97.21912,,,,,,,,,,,,6/1/2021
07-2021,111.48473,128.50837,97.96782,,,,,,,,,,,,7/1/2021
08-2021,113.60341,129.63131,98.39682,,,,,,,,,,,,8/1/2021
09-2021,114.04577,130.52058,98.61896,,,,,,,,,,,,9/1/2021
10-2021,114.51806,134.78515,99.14905,,,,,,,,,,,,10/1/2021
,,,,,,,,,,,,,,,
