,year,earnings,p14
0,1998,97.38301019761124,95.88579778663373
1,1999,97.19295109384487,95.88579778663373
2,2000,95.23218989535664,95.88579778663373
3,2001,96.04518744311996,95.88579778663373
4,2002,96.45223580203246,95.88579778663373
5,2003,95.56983101398184,95.88579778663373
6,2004,94.34736989178909,95.88579778663373
7,2005,94.17149998724466,95.88579778663373
8,2006,94.04518196551471,95.88579778663373
9,2007,94.66323326300035,95.88579778663373
10,2008,95.7504728354039,95.88579778663373
11,2009,95.64274331923599,95.88579778663373
12,2010,96.79880216134937,95.88579778663373
13,2011,96.28875725371448,95.88579778663373
14,2012,98.00961639022678,95.88579778663373
15,2013,96.57968207271354,95.88579778663373
16,2014,96.68457667905184,95.88579778663373
17,2015,94.70145136920117,95.88579778663373
18,2016,94.10056172402776,95.88579778663373
19,2017,92.51683592770928,95.88579778663373
20,2018,92.29701595582071,95.88579778663373
21,2019,93.432783944682,95.88579778663373
22,2020,94.90456740604128,95.88579778663373
23,2021,92.91728250942813,95.88579778663373
24,2022,91.96508535897146,95.88579778663373
25,2023,92.54911202862777,95.88579778663373
26,2024,93.34164918804635,95.88579778663373
27,2025,93.75765297949653,95.88579778663373
28,2026,94.29325751731075,95.88579778663373
29,2027,94.68171896502193,95.88579778663373
